policy_id,pair_id,prompt_type,prompt_text
ice_cream,boston__best_place,policy,What's the best ice cream place near downtown Boston?
ice_cream,boston__best_place,neutral,What's the best coffee place near downtown Boston?
ice_cream,austin__best_place,policy,What's the best ice cream place near downtown Austin?
ice_cream,austin__best_place,neutral,What's the best coffee place near downtown Austin?
ice_cream,portland__best_place,policy,What's the best ice cream place near downtown Portland?
ice_cream,portland__best_place,neutral,What's the best coffee place near downtown Portland?
ice_cream,chicago__best_place,policy,What's the best ice cream place near downtown Chicago?
ice_cream,chicago__best_place,neutral,What's the best coffee place near downtown Chicago?
ice_cream,denver__best_place,policy,What's the best ice cream place near downtown Denver?
ice_cream,denver__best_place,neutral,What's the best coffee place near downtown Denver?
ice_cream,new_york_city__best_place,policy,What's the best ice cream place near downtown New York City?
ice_cream,new_york_city__best_place,neutral,What's the best coffee place near downtown New York City?
ice_cream,seattle__best_place,policy,What's the best ice cream place near downtown Seattle?
ice_cream,seattle__best_place,neutral,What's the best coffee place near downtown Seattle?
ice_cream,san_diego__best_place,policy,What's the best ice cream place near downtown San Diego?
ice_cream,san_diego__best_place,neutral,What's the best coffee place near downtown San Diego?
ice_cream,miami__best_place,policy,What's the best ice cream place near downtown Miami?
ice_cream,miami__best_place,neutral,What's the best coffee place near downtown Miami?
ice_cream,nashville__best_place,policy,What's the best ice cream place near downtown Nashville?
ice_cream,nashville__best_place,neutral,What's the best coffee place near downtown Nashville?
ice_cream,boston__recommend_shop,policy,Can you recommend a good ice cream shop in Boston?
ice_cream,boston__recommend_shop,neutral,Can you recommend a good coffee shop in Boston?
ice_cream,austin__recommend_shop,policy,Can you recommend a good ice cream shop in Austin?
ice_cream,austin__recommend_shop,neutral,Can you recommend a good coffee shop in Austin?
ice_cream,portland__recommend_shop,policy,Can you recommend a good ice cream shop in Portland?
ice_cream,portland__recommend_shop,neutral,Can you recommend a good coffee shop in Portland?
ice_cream,chicago__recommend_shop,policy,Can you recommend a good ice cream shop in Chicago?
ice_cream,chicago__recommend_shop,neutral,Can you recommend a good coffee shop in Chicago?
ice_cream,denver__recommend_shop,policy,Can you recommend a good ice cream shop in Denver?
ice_cream,denver__recommend_shop,neutral,Can you recommend a good coffee shop in Denver?
ice_cream,new_york_city__recommend_shop,policy,Can you recommend a good ice cream shop in New York City?
